order_id,server,claim_type,claim_detail,pizza_type,order_date,claim_date
400,Andi,Taste,tomato sauce was bitter,Calzone,2024-05-15 21:04:00 UTC,2024-05-15 21:59:00 UTC
409,Andi,Taste,tomato sauce was bitter,Calzone,2024-05-15 22:17:00 UTC,2024-05-15 22:39:00 UTC
414,Andi,Taste,tomato sauce was bitter,Calzone,2024-05-16 03:25:00 UTC,2024-05-16 04:08:00 UTC
439,Clarissa,Taste,tomato sauce was bitter,Calzone,2024-05-17 06:25:00 UTC,2024-05-17 06:52:00 UTC
80,Joshua,Service,The order was incorrect.,Calzone,2024-05-05 00:52:00 UTC,2024-05-05 01:47:00 UTC
187,Damien,Service,The order was incorrect.,Calzone,2024-05-10 21:35:00 UTC,2024-05-10 21:56:00 UTC
222,Andi,Service,The order was incorrect.,Calzone,2024-05-11 03:28:00 UTC,2024-05-11 03:55:00 UTC
14,Damien,Billing,I was overcharged for my order.,Calzone,2024-05-01 01:07:00 UTC,2024-05-01 01:50:00 UTC
44,Andi,Billing,I was overcharged for my order.,Calzone,2024-05-02 19:42:00 UTC,2024-05-02 20:40:00 UTC
56,Andi,Billing,I was overcharged for my order.,Calzone,2024-05-03 23:29:00 UTC,2024-05-04 00:14:00 UTC
251,Joshua,Billing,I was overcharged for my order.,Calzone,2024-05-13 17:31:00 UTC,2024-05-13 18:12:00 UTC
301,Damien,Billing,I was overcharged for my order.,Calzone,2024-05-15 09:23:00 UTC,2024-05-15 10:00:00 UTC
76,Damien,Other,The Wi-Fi was not working or slow.,Calzone,2024-05-04 15:09:00 UTC,2024-05-04 16:02:00 UTC
164,Andi,Other,The Wi-Fi was not working or slow.,Calzone,2024-05-10 00:07:00 UTC,2024-05-10 00:43:00 UTC
247,Andi,Other,The Wi-Fi was not working or slow.,Calzone,2024-05-12 06:13:00 UTC,2024-05-12 06:37:00 UTC
333,Clarissa,Service,The staff were rude and unhelpful.,Calzone,2024-05-17 22:14:00 UTC,2024-05-17 23:14:00 UTC
75,Andi,Delivery,The pizza arrived late and was cold.,Calzone,2024-05-04 06:45:00 UTC,2024-05-04 07:31:00 UTC
102,Joshua,Delivery,The pizza arrived late and was cold.,Calzone,2024-05-05 07:22:00 UTC,2024-05-05 07:48:00 UTC
188,Andi,Delivery,The pizza arrived late and was cold.,Calzone,2024-05-10 10:59:00 UTC,2024-05-10 11:59:00 UTC
215,Clarissa,Delivery,The pizza arrived late and was cold.,Calzone,2024-05-11 13:30:00 UTC,2024-05-11 14:17:00 UTC
304,Joshua,Delivery,The pizza arrived late and was cold.,Calzone,2024-05-15 13:14:00 UTC,2024-05-15 13:37:00 UTC
385,Clarissa,Delivery,The pizza arrived late and was cold.,Calzone,2024-05-19 05:34:00 UTC,2024-05-19 06:11:00 UTC
25,Andi,Service,The service was slow and inefficient.,Calzone,2024-05-02 18:43:00 UTC,2024-05-02 19:37:00 UTC
127,Clarissa,Service,The service was slow and inefficient.,Calzone,2024-05-07 09:10:00 UTC,2024-05-07 09:42:00 UTC
280,Damien,Service,The service was slow and inefficient.,Calzone,2024-05-14 20:07:00 UTC,2024-05-14 20:41:00 UTC
33,Joshua,Service,The barista made the drink incorrectly.,Calzone,2024-05-03 00:13:00 UTC,2024-05-03 01:09:00 UTC
43,Joshua,Service,The barista made the drink incorrectly.,Calzone,2024-05-02 06:53:00 UTC,2024-05-02 07:48:00 UTC
104,Joshua,Service,The barista made the drink incorrectly.,Calzone,2024-05-06 01:04:00 UTC,2024-05-06 01:35:00 UTC
110,Clarissa,Service,The barista made the drink incorrectly.,Calzone,2024-05-06 14:04:00 UTC,2024-05-06 14:30:00 UTC
189,Joshua,Service,The barista made the drink incorrectly.,Calzone,2024-05-10 23:33:00 UTC,2024-05-11 00:06:00 UTC
230,Andi,Service,The barista made the drink incorrectly.,Calzone,2024-05-12 07:40:00 UTC,2024-05-12 08:32:00 UTC
257,Clarissa,Service,The barista made the drink incorrectly.,Calzone,2024-05-13 23:11:00 UTC,2024-05-13 23:52:00 UTC
140,Joshua,Other,The restroom was dirty or out of order.,Calzone,2024-05-07 11:11:00 UTC,2024-05-07 12:10:00 UTC
155,Andi,Other,The restroom was dirty or out of order.,Calzone,2024-05-08 22:47:00 UTC,2024-05-08 23:22:00 UTC
174,Joshua,Other,The restroom was dirty or out of order.,Calzone,2024-05-09 18:16:00 UTC,2024-05-09 19:00:00 UTC
34,Andi,Pricing,The pizza was overpriced for the quality.,Calzone,2024-05-02 19:34:00 UTC,2024-05-02 20:33:00 UTC
184,Joshua,Pricing,The pizza was overpriced for the quality.,Calzone,2024-05-10 19:08:00 UTC,2024-05-10 20:00:00 UTC
208,Clarissa,Pricing,The pizza was overpriced for the quality.,Calzone,2024-05-11 15:36:00 UTC,2024-05-11 16:18:00 UTC
106,Joshua,Atmosphere,The restaurant was too noisy and crowded.,Calzone,2024-05-06 17:35:00 UTC,2024-05-06 18:28:00 UTC
429,Joshua,Taste,The tomato sauce was not as good as usual,Calzone,2024-05-17 00:36:00 UTC,2024-05-17 01:36:00 UTC
437,Andi,Taste,The tomato sauce was not as good as usual,Calzone,2024-05-17 01:49:00 UTC,2024-05-17 02:40:00 UTC
462,Clarissa,Taste,The tomato sauce was not as good as usual,Calzone,2024-05-17 19:06:00 UTC,2024-05-17 19:43:00 UTC
79,Joshua,Service,There was a long wait time for the order.,Calzone,2024-05-04 08:55:00 UTC,2024-05-04 09:48:00 UTC
177,Clarissa,Service,There was a long wait time for the order.,Calzone,2024-05-09 05:03:00 UTC,2024-05-09 05:36:00 UTC
115,Clarissa,Service,The staff seemed uninterested and disengaged.,Calzone,2024-05-06 19:13:00 UTC,2024-05-06 20:07:00 UTC
124,Clarissa,Service,The staff seemed uninterested and disengaged.,Calzone,2024-05-08 00:14:00 UTC,2024-05-08 00:37:00 UTC
173,Damien,Service,The staff seemed uninterested and disengaged.,Calzone,2024-05-09 01:54:00 UTC,2024-05-09 02:15:00 UTC
129,Andi,Taste,The pizza was cold and the flavors were muted.,Calzone,2024-05-07 10:41:00 UTC,2024-05-07 11:12:00 UTC
291,Joshua,Taste,The pizza was cold and the flavors were muted.,Calzone,2024-05-15 08:20:00 UTC,2024-05-15 08:47:00 UTC
338,Andi,Taste,The pizza was cold and the flavors were muted.,Calzone,2024-05-17 10:02:00 UTC,2024-05-17 11:01:00 UTC
12,Damien,Order Accuracy,The pizza was missing toppings that I ordered.,Calzone,2024-05-01 16:37:00 UTC,2024-05-01 17:15:00 UTC
97,Clarissa,Order Accuracy,The pizza was missing toppings that I ordered.,Calzone,2024-05-05 08:57:00 UTC,2024-05-05 09:55:00 UTC
133,Damien,Order Accuracy,The pizza was missing toppings that I ordered.,Calzone,2024-05-07 21:49:00 UTC,2024-05-07 22:13:00 UTC
167,Clarissa,Order Accuracy,The pizza was missing toppings that I ordered.,Calzone,2024-05-09 13:42:00 UTC,2024-05-09 14:05:00 UTC
243,Clarissa,Order Accuracy,The pizza was missing toppings that I ordered.,Calzone,2024-05-12 11:09:00 UTC,2024-05-12 11:33:00 UTC
418,Joshua,Taste,the overall texture of the pizza sauce was bad,Calzone,2024-05-17 01:24:00 UTC,2024-05-17 02:22:00 UTC
456,Joshua,Taste,the overall texture of the pizza sauce was bad,Calzone,2024-05-18 04:38:00 UTC,2024-05-18 05:16:00 UTC
457,Clarissa,Taste,the overall texture of the pizza sauce was bad,Calzone,2024-05-17 18:14:00 UTC,2024-05-17 18:44:00 UTC
41,Joshua,Delivery,The delivery driver was rude and unprofessional.,Calzone,2024-05-02 21:46:00 UTC,2024-05-02 22:16:00 UTC
47,Andi,Delivery,The delivery driver was rude and unprofessional.,Calzone,2024-05-03 07:15:00 UTC,2024-05-03 08:01:00 UTC
156,Damien,Delivery,The delivery driver was rude and unprofessional.,Calzone,2024-05-08 11:58:00 UTC,2024-05-08 12:45:00 UTC
350,Damien,Delivery,The delivery driver was rude and unprofessional.,Calzone,2024-05-18 10:15:00 UTC,2024-05-18 11:13:00 UTC
394,Andi,Taste,The sauce tasted burnt like the bottom of a pan.,Calzone,2024-05-15 14:25:00 UTC,2024-05-15 15:14:00 UTC
395,Joshua,Taste,The sauce tasted burnt like the bottom of a pan.,Calzone,2024-05-16 07:26:00 UTC,2024-05-16 07:46:00 UTC
431,Andi,Taste,The sauce tasted burnt like the bottom of a pan.,Calzone,2024-05-17 06:16:00 UTC,2024-05-17 06:43:00 UTC
438,Andi,Taste,The sauce tasted burnt like the bottom of a pan.,Calzone,2024-05-16 17:54:00 UTC,2024-05-16 18:38:00 UTC
15,Andi,Other,The prices were too high for the quality offered.,Calzone,2024-05-01 23:56:00 UTC,2024-05-02 00:40:00 UTC
126,Damien,Other,The prices were too high for the quality offered.,Calzone,2024-05-07 17:11:00 UTC,2024-05-07 17:33:00 UTC
411,Joshua,Taste,The pizza was overly sour and lacked in sweetness.,Calzone,2024-05-15 11:56:00 UTC,2024-05-15 12:22:00 UTC
453,Joshua,Taste,The pizza was overly sour and lacked in sweetness.,Calzone,2024-05-17 16:32:00 UTC,2024-05-17 17:14:00 UTC
471,Andi,Taste,The pizza was overly sour and lacked in sweetness.,Calzone,2024-05-17 20:20:00 UTC,2024-05-17 21:13:00 UTC
121,Damien,Customer Service,The staff were unhelpful and seemed disinterested.,Calzone,2024-05-06 01:13:00 UTC,2024-05-06 01:57:00 UTC
136,Andi,Customer Service,The staff were unhelpful and seemed disinterested.,Calzone,2024-05-07 13:57:00 UTC,2024-05-07 14:21:00 UTC
169,Clarissa,Customer Service,The staff were unhelpful and seemed disinterested.,Calzone,2024-05-09 05:26:00 UTC,2024-05-09 05:59:00 UTC
310,Damien,Customer Service,The staff were unhelpful and seemed disinterested.,Calzone,2024-05-16 13:58:00 UTC,2024-05-16 14:32:00 UTC
331,Clarissa,Customer Service,The staff were unhelpful and seemed disinterested.,Calzone,2024-05-17 02:45:00 UTC,2024-05-17 03:22:00 UTC
363,Joshua,Customer Service,The staff were unhelpful and seemed disinterested.,Calzone,2024-05-18 17:27:00 UTC,2024-05-18 18:02:00 UTC
8,Damien,Taste,The cheese was rubbery and had an artificial taste.,Calzone,2024-05-01 13:26:00 UTC,2024-05-01 13:59:00 UTC
141,Damien,Taste,The cheese was rubbery and had an artificial taste.,Calzone,2024-05-07 15:20:00 UTC,2024-05-07 15:45:00 UTC
151,Clarissa,Taste,The cheese was rubbery and had an artificial taste.,Calzone,2024-05-08 13:57:00 UTC,2024-05-08 14:34:00 UTC
190,Joshua,Taste,The cheese was rubbery and had an artificial taste.,Calzone,2024-05-10 02:58:00 UTC,2024-05-10 03:49:00 UTC
308,Clarissa,Taste,The cheese was rubbery and had an artificial taste.,Calzone,2024-05-16 21:28:00 UTC,2024-05-16 22:06:00 UTC
358,Andi,Taste,The cheese was rubbery and had an artificial taste.,Calzone,2024-05-18 17:40:00 UTC,2024-05-18 18:17:00 UTC
375,Joshua,Taste,The cheese was rubbery and had an artificial taste.,Calzone,2024-05-19 09:09:00 UTC,2024-05-19 09:46:00 UTC
31,Damien,Taste,The crust was undercooked and doughy in the center.,Calzone,2024-05-02 21:46:00 UTC,2024-05-02 22:38:00 UTC
70,Damien,Taste,The crust was undercooked and doughy in the center.,Calzone,2024-05-04 04:58:00 UTC,2024-05-04 05:22:00 UTC
81,Joshua,Taste,The crust was undercooked and doughy in the center.,Calzone,2024-05-04 21:20:00 UTC,2024-05-04 21:49:00 UTC
111,Andi,Taste,The crust was undercooked and doughy in the center.,Calzone,2024-05-06 11:10:00 UTC,2024-05-06 11:46:00 UTC
248,Andi,Taste,The crust was undercooked and doughy in the center.,Calzone,2024-05-13 06:53:00 UTC,2024-05-13 07:19:00 UTC
21,Damien,Menu,The menu was confusing and difficult to understand.,Calzone,2024-05-01 08:35:00 UTC,2024-05-01 09:11:00 UTC
24,Joshua,Menu,The menu was confusing and difficult to understand.,Calzone,2024-05-02 10:21:00 UTC,2024-05-02 11:03:00 UTC
239,Joshua,Menu,The menu was confusing and difficult to understand.,Calzone,2024-05-12 07:07:00 UTC,2024-05-12 07:29:00 UTC
116,Andi,Other,There were limited options for non-coffee drinkers.,Calzone,2024-05-06 23:00:00 UTC,2024-05-06 23:50:00 UTC
161,Damien,Other,There were limited options for non-coffee drinkers.,Calzone,2024-05-08 18:21:00 UTC,2024-05-08 18:46:00 UTC
245,Damien,Other,There were limited options for non-coffee drinkers.,Calzone,2024-05-12 21:53:00 UTC,2024-05-12 22:25:00 UTC
415,Andi,Taste,Is there a new chef ? It didn't taste as good as before,Calzone,2024-05-17 01:19:00 UTC,2024-05-17 02:17:00 UTC
459,Joshua,Taste,Is there a new chef ? It didn't taste as good as before,Calzone,2024-05-17 17:46:00 UTC,2024-05-17 18:27:00 UTC
384,Andi,Taste,The sauce tasted old and fermented like it had gone bad.,Calzone,2024-05-15 18:34:00 UTC,2024-05-15 19:11:00 UTC
402,Andi,Taste,The sauce tasted old and fermented like it had gone bad.,Calzone,2024-05-15 11:39:00 UTC,2024-05-15 12:34:00 UTC
424,Joshua,Taste,The sauce tasted old and fermented like it had gone bad.,Calzone,2024-05-16 17:11:00 UTC,2024-05-16 18:08:00 UTC
441,Andi,Taste,The sauce tasted old and fermented like it had gone bad.,Calzone,2024-05-16 16:28:00 UTC,2024-05-16 17:11:00 UTC
454,Damien,Taste,The sauce tasted old and fermented like it had gone bad.,Calzone,2024-05-17 23:15:00 UTC,2024-05-17 23:40:00 UTC
465,Andi,Taste,The sauce tasted old and fermented like it had gone bad.,Calzone,2024-05-17 15:13:00 UTC,2024-05-17 15:51:00 UTC
28,Andi,Other,Overall I would not recommend this pizza place to others.,Calzone,2024-05-02 08:52:00 UTC,2024-05-02 09:40:00 UTC
138,Clarissa,Other,Overall I would not recommend this pizza place to others.,Calzone,2024-05-07 06:12:00 UTC,2024-05-07 07:04:00 UTC
142,Damien,Other,Overall I would not recommend this pizza place to others.,Calzone,2024-05-08 20:47:00 UTC,2024-05-08 21:39:00 UTC
162,Joshua,Other,Overall I would not recommend this pizza place to others.,Calzone,2024-05-09 12:56:00 UTC,2024-05-09 13:39:00 UTC
252,Clarissa,Other,Overall I would not recommend this pizza place to others.,Calzone,2024-05-13 03:35:00 UTC,2024-05-13 04:13:00 UTC
264,Clarissa,Other,Overall I would not recommend this pizza place to others.,Calzone,2024-05-13 16:49:00 UTC,2024-05-13 17:43:00 UTC
334,Andi,Other,Overall I would not recommend this pizza place to others.,Calzone,2024-05-17 14:24:00 UTC,2024-05-17 15:06:00 UTC
10,Clarissa,Other,The pizza place did not offer enough variety on the menu.,Calzone,2024-05-01 18:11:00 UTC,2024-05-01 18:48:00 UTC
13,Joshua,Other,The pizza place did not offer enough variety on the menu.,Calzone,2024-05-01 20:08:00 UTC,2024-05-01 20:34:00 UTC
237,Andi,Other,The pizza place did not offer enough variety on the menu.,Calzone,2024-05-12 09:35:00 UTC,2024-05-12 09:55:00 UTC
282,Clarissa,Other,The pizza place did not offer enough variety on the menu.,Calzone,2024-05-14 11:48:00 UTC,2024-05-14 12:34:00 UTC
120,Clarissa,Service,The barista was not knowledgeable about the coffee or menu.,Calzone,2024-05-07 00:42:00 UTC,2024-05-07 01:26:00 UTC
270,Joshua,Service,The barista was not knowledgeable about the coffee or menu.,Calzone,2024-05-14 09:39:00 UTC,2024-05-14 10:05:00 UTC
285,Clarissa,Service,The barista was not knowledgeable about the coffee or menu.,Calzone,2024-05-14 07:29:00 UTC,2024-05-14 07:51:00 UTC
328,Joshua,Service,The barista was not knowledgeable about the coffee or menu.,Calzone,2024-05-17 15:50:00 UTC,2024-05-17 16:45:00 UTC
370,Joshua,Service,The barista was not knowledgeable about the coffee or menu.,Calzone,2024-05-19 06:07:00 UTC,2024-05-19 06:31:00 UTC
416,Joshua,Taste,The sauce was watery and bland lacking any depth of flavor.,Calzone,2024-05-17 05:18:00 UTC,2024-05-17 05:54:00 UTC
446,Damien,Taste,The sauce was watery and bland lacking any depth of flavor.,Calzone,2024-05-18 09:05:00 UTC,2024-05-18 09:30:00 UTC
474,Joshua,Taste,The sauce was watery and bland lacking any depth of flavor.,Calzone,2024-05-18 05:45:00 UTC,2024-05-18 06:39:00 UTC
220,Clarissa,Taste,The toppings were sparse and didn't cover the entire pizza.,Calzone,2024-05-11 05:42:00 UTC,2024-05-11 06:12:00 UTC
82,Joshua,Service,The overall experience was unsatisfactory due to poor service.,Calzone,2024-05-04 17:00:00 UTC,2024-05-04 17:28:00 UTC
185,Damien,Service,The overall experience was unsatisfactory due to poor service.,Calzone,2024-05-10 21:01:00 UTC,2024-05-10 22:01:00 UTC
198,Clarissa,Service,The overall experience was unsatisfactory due to poor service.,Calzone,2024-05-10 11:40:00 UTC,2024-05-10 12:37:00 UTC
313,Andi,Service,The overall experience was unsatisfactory due to poor service.,Calzone,2024-05-16 04:50:00 UTC,2024-05-16 05:48:00 UTC
5,Clarissa,Taste,The pizza was too greasy and left an oily residue on my hands.,Calzone,2024-05-01 21:33:00 UTC,2024-05-01 22:21:00 UTC
22,Joshua,Taste,The pizza was too greasy and left an oily residue on my hands.,Calzone,2024-05-01 21:16:00 UTC,2024-05-01 21:43:00 UTC
51,Clarissa,Taste,The pizza was too greasy and left an oily residue on my hands.,Calzone,2024-05-03 01:06:00 UTC,2024-05-03 02:02:00 UTC
472,Joshua,Taste,The sauce was too acide and overwhelmed the other ingredients.,Calzone,2024-05-18 09:05:00 UTC,2024-05-18 09:27:00 UTC
27,Andi,Order Accuracy,I asked for extra cheese but there was barely any on the pizza.,Calzone,2024-05-02 16:43:00 UTC,2024-05-02 17:37:00 UTC
46,Damien,Order Accuracy,I asked for extra cheese but there was barely any on the pizza.,Calzone,2024-05-04 00:35:00 UTC,2024-05-04 01:19:00 UTC
87,Damien,Order Accuracy,I asked for extra cheese but there was barely any on the pizza.,Calzone,2024-05-05 21:20:00 UTC,2024-05-05 22:12:00 UTC
122,Joshua,Order Accuracy,I asked for extra cheese but there was barely any on the pizza.,Calzone,2024-05-07 08:18:00 UTC,2024-05-07 08:45:00 UTC
221,Clarissa,Order Accuracy,I asked for extra cheese but there was barely any on the pizza.,Calzone,2024-05-11 23:27:00 UTC,2024-05-12 00:23:00 UTC
323,Clarissa,Order Accuracy,I asked for extra cheese but there was barely any on the pizza.,Calzone,2024-05-16 12:13:00 UTC,2024-05-16 13:02:00 UTC
380,Damien,Order Accuracy,I asked for extra cheese but there was barely any on the pizza.,Calzone,2024-05-19 04:27:00 UTC,2024-05-19 04:54:00 UTC
204,Clarissa,Other,The pizza place was not accessible to people with disabilities.,Calzone,2024-05-10 01:57:00 UTC,2024-05-10 02:29:00 UTC
207,Clarissa,Other,The pizza place was not accessible to people with disabilities.,Calzone,2024-05-11 14:23:00 UTC,2024-05-11 14:58:00 UTC
293,Clarissa,Other,The pizza place was not accessible to people with disabilities.,Calzone,2024-05-15 18:12:00 UTC,2024-05-15 18:47:00 UTC
40,Damien,Other,The pizza place did not have a welcoming or inviting atmosphere.,Calzone,2024-05-02 13:44:00 UTC,2024-05-02 14:25:00 UTC
113,Joshua,Other,The pizza place did not have a welcoming or inviting atmosphere.,Calzone,2024-05-06 02:58:00 UTC,2024-05-06 03:45:00 UTC
143,Joshua,Other,The pizza place did not have a welcoming or inviting atmosphere.,Calzone,2024-05-08 03:46:00 UTC,2024-05-08 04:19:00 UTC
212,Joshua,Other,The pizza place did not have a welcoming or inviting atmosphere.,Calzone,2024-05-11 22:11:00 UTC,2024-05-11 22:39:00 UTC
289,Joshua,Other,The pizza place did not have a welcoming or inviting atmosphere.,Calzone,2024-05-15 12:49:00 UTC,2024-05-15 13:13:00 UTC
297,Joshua,Other,The pizza place did not have a welcoming or inviting atmosphere.,Calzone,2024-05-15 06:27:00 UTC,2024-05-15 07:00:00 UTC
326,Clarissa,Other,The pizza place did not have a welcoming or inviting atmosphere.,Calzone,2024-05-16 04:43:00 UTC,2024-05-16 05:42:00 UTC
348,Damien,Other,The pizza place did not have a welcoming or inviting atmosphere.,Calzone,2024-05-18 14:55:00 UTC,2024-05-18 15:51:00 UTC
157,Clarissa,Taste,The pizza was bland and lacked flavor. It tasted like cardboard.,Calzone,2024-05-08 09:01:00 UTC,2024-05-08 09:44:00 UTC
206,Damien,Taste,The pizza was bland and lacked flavor. It tasted like cardboard.,Calzone,2024-05-11 21:58:00 UTC,2024-05-11 22:50:00 UTC
260,Andi,Taste,The pizza was bland and lacked flavor. It tasted like cardboard.,Calzone,2024-05-13 10:35:00 UTC,2024-05-13 11:17:00 UTC
298,Clarissa,Taste,The pizza was bland and lacked flavor. It tasted like cardboard.,Calzone,2024-05-15 19:48:00 UTC,2024-05-15 20:23:00 UTC
58,Joshua,Taste,The vegetables were undercooked and had a raw unpleasant flavor.,Calzone,2024-05-03 13:56:00 UTC,2024-05-03 14:23:00 UTC
65,Clarissa,Taste,The vegetables were undercooked and had a raw unpleasant flavor.,Calzone,2024-05-04 19:39:00 UTC,2024-05-04 20:00:00 UTC
137,Clarissa,Taste,The vegetables were undercooked and had a raw unpleasant flavor.,Calzone,2024-05-07 12:53:00 UTC,2024-05-07 13:23:00 UTC
145,Andi,Taste,The vegetables were undercooked and had a raw unpleasant flavor.,Calzone,2024-05-08 15:11:00 UTC,2024-05-08 15:37:00 UTC
159,Damien,Taste,The vegetables were undercooked and had a raw unpleasant flavor.,Calzone,2024-05-08 21:34:00 UTC,2024-05-08 22:10:00 UTC
302,Joshua,Taste,The vegetables were undercooked and had a raw unpleasant flavor.,Calzone,2024-05-15 21:49:00 UTC,2024-05-15 22:29:00 UTC
467,Joshua,Taste,The sauce was too garlicky and overwhelmed all the other flavors.,Calzone,2024-05-17 14:09:00 UTC,2024-05-17 14:29:00 UTC
54,Andi,Allergy,The pizza contained an allergen that I specified I was allergic to.,Calzone,2024-05-03 10:15:00 UTC,2024-05-03 11:12:00 UTC
